,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player▲,Dist.,2P.2,3P.2,%FGA,DRTG
176,Herbert Jones,PF,24,NOP,66,1951,12.1,0.567,0.333,0.321,5.6,10.0,7.8,11.1,2.6,2.1,13.3,14.5,1.5,2.7,4.2,0.104,-1.9,1.7,-0.3,0.8,Herbert Jones,10.9,0.67,0.964,0.086,111.8
177,Kai Jones,C,22,CHO,46,550,10.8,0.597,0.158,0.217,7.0,17.0,11.9,3.7,1.5,4.7,19.1,12.4,0.0,0.7,0.7,0.062,-4.8,0.8,-4.0,-0.3,Kai Jones,7.2,0.619,1.0,0.408,108.4
178,Tre Jones,PG,23,SAS,68,1984,16.0,0.534,0.213,0.231,3.0,10.8,6.7,31.5,2.1,0.4,11.8,19.3,2.6,0.8,3.4,0.082,-0.2,-0.8,-1.0,0.5,Tre Jones,10.7,0.26,0.867,0.004,118.8
179,Tyus Jones,PG,26,MEM,80,1940,16.0,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2.0,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7,Tyus Jones,16.6,0.284,0.793,0.0,111.6
180,DeAndre Jordan,C,34,DEN,39,586,14.7,0.731,0.009,0.417,10.5,28.6,19.8,7.7,1.0,3.5,26.1,13.7,0.5,0.9,1.4,0.112,-2.4,0.7,-1.8,0.0,DeAndre Jordan,2.2,0.759,1.0,0.565,115.4
181,Cory Joseph,PG,31,DET,62,1227,12.1,0.558,0.513,0.205,1.8,7.9,4.8,25.4,1.3,0.6,12.8,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2,Cory Joseph,17.3,0.25,0.771,0.0,113.8
182,Luke Kennard,SG,26,TOT,59,1315,13.0,0.684,0.704,0.102,1.2,11.8,6.6,9.4,1.2,0.3,10.3,14.5,2.2,1.2,3.4,0.124,0.6,-0.1,0.5,0.8,Luke Kennard,20.9,0.6,0.94,0.0,109.1
183,Walker Kessler,C,21,UTA,74,1703,21.5,0.702,0.007,0.384,14.9,24.4,19.7,5.7,0.7,8.6,10.7,13.3,4.6,2.5,7.1,0.2,1.4,1.5,2.9,2.1,Walker Kessler,2.7,0.67,1.0,0.343,112.7
184,Corey Kispert,SF,23,WAS,74,2093,11.5,0.657,0.656,0.15,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,0.088,-0.1,-1.4,-1.5,0.2,Corey Kispert,18.8,0.766,0.982,0.029,115.6
185,Maxi Kleber,PF,31,DAL,37,930,8.7,0.592,0.663,0.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,0.067,-2.2,0.0,-2.2,0.0,Maxi Kleber,18.1,0.868,0.974,0.077,113.6
186,Christian Koloko,C,22,TOR,58,802,11.4,0.517,0.08,0.393,11.1,13.3,12.1,5.0,1.3,6.9,10.2,10.4,0.7,1.0,1.7,0.104,-4.3,0.8,-3.5,-0.3,Christian Koloko,4.9,0.704,1.0,0.32,103.7
187,John Konchar,SF,26,MEM,72,1494,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9,John Konchar,15.3,0.769,0.95,0.028,107.5
188,Luke Kornet,C,27,BOS,69,804,16.7,0.697,0.076,0.229,11.9,14.8,13.4,9.1,0.7,4.9,11.8,11.5,2.1,1.2,3.3,0.198,-0.4,1.3,1.0,0.6,Luke Kornet,4.6,0.764,1.0,0.376,107.9
189,Jonathan Kuminga,PF,20,GSW,67,1394,13.3,0.597,0.294,0.278,5.6,12.5,9.1,12.7,1.4,2.0,14.6,19.6,1.0,1.4,2.4,0.084,-1.7,-0.1,-1.7,0.1,Jonathan Kuminga,10.7,0.643,0.944,0.189,113.0
190,Kyle Kuzma,PF,27,WAS,64,2239,14.3,0.544,0.421,0.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,0.019,-0.2,-1.5,-1.7,0.2,Kyle Kuzma,15.2,0.466,0.781,0.036,112.6
191,Anthony Lamb,SF,25,GSW,62,1195,10.9,0.61,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3,Anthony Lamb,17.8,0.68,0.986,0.045,110.8
192,Jock Landale,C,27,PHO,69,979,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2,Jock Landale,9.8,0.771,1.0,0.139,105.1
193,Romeo Langford,SG,23,SAS,43,844,10.4,0.524,0.236,0.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5,Romeo Langford,10.1,0.543,1.0,0.054,115.5
194,Jake LaRavia,PF,21,MEM,35,414,6.7,0.531,0.747,0.095,4.9,11.3,8.1,6.2,1.4,0.9,15.4,11.7,0.0,0.5,0.5,0.054,-3.9,0.4,-3.5,-0.2,Jake LaRavia,20.1,0.846,1.0,0.042,113.9
195,Zach LaVine,SG,27,CHI,77,2768,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,Zach LaVine,14.9,0.335,0.647,0.042,111.7
196,Damion Lee,SG,30,PHO,74,1506,10.7,0.607,0.546,0.23,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,Damion Lee,17.5,0.7,0.991,0.004,107.3
197,Saben Lee,PG,23,TOT,25,373,13.1,0.517,0.248,0.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,0.088,-2.7,0.9,-1.8,0.0,Saben Lee,9.4,0.263,0.818,0.05,105.1
198,Kawhi Leonard,SF,31,LAC,52,1748,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2.0,1.4,8.1,27.0,4.9,2.2,7.1,0.194,5.1,0.9,6.1,3.5,Kawhi Leonard,14.9,0.333,0.644,0.049,112.1
199,Caris LeVert,SG,28,CLE,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,Caris LeVert,14.7,0.373,0.709,0.043,108.5
200,Damian Lillard,PG,32,POR,58,2107,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,0.205,8.3,-1.2,7.1,4.9,Damian Lillard,17.9,0.157,0.516,0.012,117.4
201,Nassir Little,SF,22,POR,54,976,10.2,0.555,0.521,0.152,3.2,13.5,8.3,7.3,1.0,1.8,10.0,16.0,0.2,0.4,0.7,0.032,-1.6,-1.4,-3.0,-0.3,Nassir Little,17.1,0.592,0.948,0.053,119.9
202,Isaiah Livers,PF,24,DET,52,1199,8.4,0.567,0.705,0.135,2.5,11.0,6.6,4.8,1.1,2.1,9.0,11.9,0.5,0.5,1.0,0.041,-2.1,-0.3,-2.4,-0.1,Isaiah Livers,20.7,0.696,0.932,0.031,115.6
203,Kevon Looney,C,26,GSW,82,1958,17.8,0.639,0.003,0.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2.0,Kevon Looney,3.5,0.669,0.0,0.177,112.0
204,Brook Lopez,C,34,MIL,78,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,0.161,0.8,1.3,2.1,2.5,Brook Lopez,14.0,0.745,0.971,0.087,106.6
205,Kevin Love,PF,34,TOT,62,1240,13.1,0.548,0.698,0.215,5.5,32.6,18.9,13.2,0.6,0.9,13.1,19.2,0.6,2.0,2.6,0.099,0.2,0.4,0.6,0.8,Kevin Love,20.2,0.576,0.939,0.012,109.8
206,Kyle Lowry,PG,36,MIA,55,1718,12.6,0.565,0.639,0.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,0.096,-0.7,0.8,0.2,0.9,Kyle Lowry,19.4,0.292,0.757,0.0,111.3
207,Trey Lyles,PF,27,SAC,74,1247,14.2,0.607,0.588,0.304,6.3,21.1,13.7,7.0,1.0,2.2,12.2,18.1,1.4,1.2,2.6,0.098,0.0,-0.9,-1.0,0.3,Trey Lyles,15.8,0.69,0.989,0.088,112.3
208,Sandro Mamukelashvili,C,23,TOT,43,660,13.4,0.516,0.43,0.248,11.2,19.0,15.1,12.8,1.0,1.5,12.1,18.2,0.4,0.5,0.9,0.063,-1.1,-1.3,-2.4,-0.1,Sandro Mamukelashvili,13.2,0.642,1.0,0.048,116.4
209,Terance Mann,SG,26,LAC,81,1872,13.4,0.619,0.378,0.225,4.7,11.8,8.3,14.0,1.1,1.0,12.2,15.3,2.8,1.5,4.3,0.111,-0.3,0.1,-0.2,0.8,Terance Mann,12.5,0.554,0.883,0.107,113.5
210,Tre Mann,PG,21,OKC,67,1183,10.0,0.492,0.513,0.11,2.4,11.8,7.0,14.0,1.6,0.9,10.6,20.7,-0.6,1.1,0.5,0.021,-3.0,-1.0,-3.9,-0.6,Tre Mann,17.2,0.267,0.605,0.012,108.2
211,Lauri Markkanen,PF,25,UTA,66,2273,22.1,0.64,0.446,0.348,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,6.3,1.9,8.2,0.173,4.9,-1.0,3.8,3.3,Lauri Markkanen,14.6,0.65,0.935,0.112,113.6
212,Naji Marshall,SF,25,NOP,77,1792,11.4,0.539,0.382,0.306,3.0,14.6,8.8,14.4,1.5,0.7,13.0,17.8,0.5,2.0,2.5,0.068,-1.9,0.0,-1.9,0.1,Naji Marshall,13.3,0.53,0.985,0.026,111.4
213,Caleb Martin,SF,27,MIA,71,2077,11.4,0.571,0.431,0.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,0.086,-1.8,0.5,-1.2,0.4,Caleb Martin,15.0,0.612,0.857,0.053,110.7
214,Kenyon Martin Jr.,SF,22,HOU,82,2292,15.4,0.635,0.3,0.308,6.0,15.8,10.8,8.1,0.9,1.3,10.0,16.4,4.2,0.7,4.9,0.103,0.6,-1.3,-0.7,0.7,Kenyon Martin Jr.,9.7,0.772,1.0,0.275,118.7
215,Garrison Mathews,SG,26,TOT,54,686,9.7,0.573,0.896,0.264,1.7,10.0,5.8,5.1,1.7,0.7,7.8,14.7,0.7,0.3,1.0,0.067,-2.0,-0.4,-2.4,-0.1,Garrison Mathews,23.8,0.5,0.952,0.01,109.5
216,Bennedict Mathurin,SG,20,IND,78,2222,13.1,0.566,0.326,0.477,4.4,11.5,7.9,7.6,1.0,0.5,11.7,24.6,1.0,0.8,1.8,0.038,-1.2,-2.5,-3.7,-1.0,Bennedict Mathurin,12.2,0.601,0.74,0.035,115.8
217,Wesley Matthews,SF,36,MIL,52,820,7.0,0.519,0.775,0.175,4.5,9.7,7.2,5.1,1.2,1.3,9.5,9.8,0.3,0.9,1.2,0.073,-3.4,0.8,-2.7,-0.1,Wesley Matthews,21.0,0.842,0.974,0.0,108.3
218,Tyrese Maxey,SG,22,PHI,60,2016,17.0,0.605,0.404,0.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,0.128,1.9,-1.2,0.6,1.3,Tyrese Maxey,14.7,0.444,0.725,0.014,112.6
219,Miles McBride,PG,22,NYK,64,760,8.4,0.475,0.623,0.195,1.9,5.4,3.6,12.4,2.4,1.0,9.7,14.6,0.0,0.7,0.7,0.047,-3.6,1.4,-2.3,-0.1,Miles McBride,18.6,0.541,0.875,0.028,107.3
220,CJ McCollum,SG,31,NOP,75,2649,15.6,0.541,0.404,0.177,2.4,11.7,7.0,25.1,1.3,1.4,11.2,26.4,1.5,2.8,4.3,0.078,1.5,-0.7,0.8,1.9,CJ McCollum,16.2,0.303,0.758,0.004,113.5
221,T.J. McConnell,PG,30,IND,75,1526,16.8,0.59,0.113,0.131,3.3,13.7,8.5,37.9,2.5,0.6,20.6,19.1,1.9,1.2,3.1,0.098,0.4,0.1,0.5,1.0,T.J. McConnell,8.6,0.237,0.692,0.0,112.9
222,Jaden McDaniels,SF,22,MIN,79,2416,12.0,0.611,0.376,0.201,4.3,9.8,7.1,8.4,1.5,2.7,12.6,15.8,2.0,2.4,4.4,0.087,-1.7,0.5,-1.2,0.5,Jaden McDaniels,12.5,0.658,0.991,0.115,111.6
223,Jalen McDaniels,SF,25,TOT,80,1913,11.8,0.557,0.376,0.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,0.068,-2.7,0.6,-2.1,-0.1,Jalen McDaniels,12.4,0.578,0.974,0.076,113.9
224,Doug McDermott,SF,31,SAS,64,1314,11.2,0.59,0.57,0.134,1.9,9.9,5.8,9.8,0.5,0.4,9.5,19.2,1.0,0.0,1.0,0.035,-0.7,-2.5,-3.2,-0.4,Doug McDermott,17.3,0.845,0.984,0.027,118.4
225,Bryce McGowens,SG,20,CHO,46,787,7.2,0.519,0.396,0.396,2.7,10.1,6.3,9.1,0.9,0.7,15.3,15.0,-0.4,0.4,0.1,0.005,-4.6,-1.4,-6.0,-0.8,Bryce McGowens,13.0,0.648,0.923,0.059,112.3
226,Rodney McGruder,SG,31,DET,32,524,10.7,0.566,0.638,0.145,4.1,11.8,7.8,7.6,1.5,0.2,6.4,14.0,0.5,0.2,0.7,0.068,-0.8,-0.7,-1.5,0.1,Rodney McGruder,18.1,0.667,0.951,0.007,114.9
227,Jordan McLaughlin,PG,26,MIN,43,678,11.8,0.526,0.538,0.124,2.5,7.6,5.1,27.4,2.2,0.5,17.7,11.7,0.7,0.6,1.3,0.094,-1.3,0.6,-0.7,0.2,Jordan McLaughlin,16.7,0.73,0.833,0.0,105.9
228,De'Anthony Melton,SG,24,PHI,77,2150,12.7,0.566,0.619,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6,De'Anthony Melton,18.0,0.483,0.879,0.011,112.8
229,Chimezie Metu,PF,25,SAC,66,689,17.3,0.639,0.174,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,Chimezie Metu,7.5,0.783,1.0,0.329,107.3
230,Khris Middleton,SF,31,MIL,33,801,17.4,0.551,0.399,0.251,3.8,14.0,9.1,30.7,1.4,0.5,13.6,27.4,1.0,1.0,1.9,0.117,1.0,-0.3,0.8,0.6,Khris Middleton,16.4,0.333,0.608,0.002,108.8
231,Patty Mills,PG,34,BRK,40,567,10.6,0.554,0.641,0.144,1.6,7.0,4.4,13.9,1.3,0.5,11.9,19.7,0.0,0.4,0.4,0.035,-1.4,-1.7,-3.1,-0.2,Patty Mills,20.9,0.568,0.857,0.0,117.0
232,Shake Milton,SG,26,PHI,76,1567,12.7,0.575,0.294,0.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1.0,-0.9,-2.0,0.0,Shake Milton,12.0,0.416,0.911,0.008,110.2
233,Davion Mitchell,PG,24,SAC,80,1447,9.4,0.545,0.494,0.078,1.3,7.0,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.05,-2.4,-0.4,-2.8,-0.3,Davion Mitchell,16.4,0.449,0.873,0.005,111.8
234,Donovan Mitchell,SG,26,CLE,68,2432,22.9,0.614,0.453,0.262,3.1,10.9,7.0,21.4,2.0,1.0,10.3,32.1,5.4,3.5,8.9,0.176,5.6,0.6,6.3,5.0,Donovan Mitchell,16.3,0.26,0.482,0.029,110.4
235,Evan Mobley,PF,21,CLE,79,2715,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,Evan Mobley,7.3,0.74,1.0,0.239,109.0
236,Malik Monk,SG,24,SAC,77,1719,16.6,0.587,0.5,0.26,2.1,11.3,6.7,25.0,1.4,1.0,14.1,25.8,2.1,1.2,3.2,0.091,1.6,-1.4,0.3,1.0,Malik Monk,15.8,0.528,0.832,0.05,112.7
237,Moses Moody,SG,20,GSW,63,817,10.3,0.603,0.595,0.233,3.8,10.2,7.1,8.2,1.0,0.8,12.0,14.6,0.7,0.6,1.3,0.076,-1.7,-0.9,-2.6,-0.1,Moses Moody,17.1,0.695,0.98,0.101,111.3
238,Ja Morant,PG,23,MEM,61,1948,23.3,0.557,0.247,0.409,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,3.4,2.6,6.0,0.148,5.2,0.5,5.7,3.8,Ja Morant,11.1,0.181,0.533,0.058,108.5
239,Markieff Morris,PF,33,TOT,35,355,10.4,0.553,0.617,0.087,4.2,18.2,11.3,12.2,1.2,1.2,13.1,17.2,0.1,0.4,0.4,0.059,-2.3,-0.4,-2.7,-0.1,Markieff Morris,19.7,0.737,1.0,0.009,109.5
240,Monte Morris,PG,27,WAS,62,1695,15.0,0.579,0.396,0.15,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,3.1,1.1,4.2,0.12,0.8,-0.4,0.5,1.1,Monte Morris,16.2,0.29,0.769,0.0,117.3
241,Trey Murphy III,SF,22,NOP,79,2448,15.2,0.65,0.621,0.238,2.7,10.3,6.5,6.4,1.8,1.7,6.5,16.6,4.8,2.8,7.6,0.15,1.4,0.4,1.8,2.3,Trey Murphy III,18.0,0.67,0.96,0.124,112.8
242,Dejounte Murray,SG,26,ATL,74,2693,17.0,0.54,0.293,0.144,2.1,13.8,7.9,24.0,2.0,0.6,10.2,24.4,2.4,2.3,4.7,0.084,1.1,0.0,1.0,2.1,Dejounte Murray,14.6,0.194,0.729,0.016,115.4
243,Jamal Murray,PG,25,DEN,65,2133,18.0,0.571,0.415,0.207,2.7,11.0,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,Jamal Murray,16.5,0.329,0.605,0.019,112.5
244,Keegan Murray,SF,22,SAC,80,2382,12.3,0.597,0.641,0.104,4.3,13.4,8.9,5.5,1.2,1.5,6.8,15.8,2.6,1.7,4.3,0.087,0.4,-1.0,-0.6,0.8,Keegan Murray,18.1,0.709,0.976,0.058,117.1
245,Mike Muscala,C,31,TOT,63,945,13.0,0.608,0.709,0.178,4.2,19.1,11.6,7.1,0.8,2.3,6.8,15.1,1.4,1.1,2.5,0.128,-0.3,-0.1,-0.4,0.4,Mike Muscala,20.6,0.86,0.988,0.021,107.6
246,Svi Mykhailiuk,SF,25,TOT,32,468,14.0,0.584,0.572,0.225,3.4,8.9,6.1,16.5,1.5,0.7,11.2,19.3,0.5,0.3,0.8,0.081,0.5,-0.7,-0.1,0.2,Svi Mykhailiuk,17.2,0.543,0.833,0.029,108.5
247,Larry Nance Jr.,C,30,NOP,65,1381,16.0,0.649,0.138,0.259,8.7,20.3,14.5,11.7,2.0,2.6,11.0,11.9,2.8,2.1,4.9,0.171,0.0,2.0,2.0,1.4,Larry Nance Jr.,6.9,0.762,1.0,0.223,107.4
248,Andrew Nembhard,SG,23,IND,75,2073,10.0,0.528,0.408,0.096,1.9,8.8,5.3,22.4,1.6,0.5,15.8,16.1,0.4,0.8,1.2,0.029,-2.4,-0.8,-3.2,-0.6,Andrew Nembhard,15.4,0.406,0.913,0.002,118.2
249,Aaron Nesmith,SF,23,IND,73,1816,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,0.052,-2.3,-0.7,-3.0,-0.4,Aaron Nesmith,15.5,0.701,0.965,0.042,118.5
250,Raul Neto,PG,30,CLE,48,505,12.6,0.628,0.382,0.309,2.3,8.4,5.4,21.0,1.7,0.7,16.1,13.2,0.8,0.6,1.5,0.142,-1.7,1.5,-0.2,0.2,Raul Neto,13.2,0.444,0.917,0.0,109.8
251,Georges Niang,PF,29,PHI,78,1512,10.9,0.61,0.765,0.09,1.5,12.8,7.2,7.3,1.0,0.9,9.4,17.0,1.1,1.4,2.5,0.078,-0.4,-1.0,-1.4,0.2,Georges Niang,20.8,0.75,1.0,0.0,111.1
252,Daishen Nix,PG,20,HOU,57,914,5.3,0.447,0.591,0.152,2.1,9.7,5.9,19.2,1.6,0.7,25.4,15.4,-1.5,0.3,-1.2,-0.062,-5.0,-1.5,-6.5,-1.0,Daishen Nix,17.4,0.439,0.825,0.013,114.4
253,Zeke Nnaji,PF,22,DEN,53,728,12.5,0.62,0.332,0.316,10.5,11.2,10.9,3.3,1.1,2.8,12.2,15.2,0.9,0.7,1.6,0.106,-2.7,-0.9,-3.7,-0.3,Zeke Nnaji,9.9,0.72,1.0,0.168,107.4
254,Jaylen Nowell,SG,23,MIN,65,1252,13.7,0.527,0.371,0.158,3.3,11.7,7.6,15.9,1.6,0.3,8.9,25.0,0.0,1.2,1.2,0.046,-1.5,-1.0,-2.5,-0.2,Jaylen Nowell,13.5,0.469,0.716,0.024,111.3
255,Frank Ntilikina,SG,24,DAL,47,607,5.2,0.461,0.508,0.25,1.3,10.7,5.9,12.8,1.3,1.0,16.5,13.1,-0.5,0.4,-0.1,-0.01,-6.1,-0.7,-6.7,-0.7,Frank Ntilikina,16.9,0.581,0.941,0.0,108.4
256,Kendrick Nunn,SG,27,TOT,70,964,11.1,0.53,0.496,0.091,1.8,10.3,6.2,13.8,1.4,0.6,12.4,23.7,-0.6,0.8,0.2,0.008,-2.0,-1.5,-3.5,-0.4,Kendrick Nunn,17.0,0.366,0.696,0.022,112.6
257,Jordan Nwora,SF,24,TOT,62,1188,12.2,0.561,0.474,0.193,4.7,15.8,10.4,10.5,1.0,1.0,12.0,19.4,0.5,1.0,1.5,0.06,-0.8,-1.3,-2.1,0.0,Jordan Nwora,15.5,0.565,0.93,0.04,117.2
258,Royce O'Neale,SF,29,BRK,76,2409,9.2,0.538,0.707,0.116,2.6,15.0,9.0,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,0.057,-1.7,0.6,-1.1,0.5,Royce O'Neale,19.6,0.394,0.975,0.01,111.8
259,Chuma Okeke,SF,24,ORL,27,518,9.1,0.488,0.705,0.172,5.7,15.3,10.5,9.4,1.8,2.1,11.5,12.3,0.0,0.6,0.7,0.061,-2.4,0.8,-1.6,0.1,Chuma Okeke,19.6,0.588,0.923,0.049,116.5
260,Josh Okogie,SG,24,PHO,72,1350,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2.0,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,Josh Okogie,14.4,0.448,0.939,0.087,108.0
261,Onyeka Okongwu,C,22,ATL,80,1849,19.4,0.678,0.026,0.394,12.7,21.5,17.0,5.8,1.4,4.9,12.2,15.1,4.7,2.4,7.1,0.185,0.0,0.8,0.8,1.3,Onyeka Okongwu,4.6,0.712,1.0,0.209,112.4
262,Isaac Okoro,SF,22,CLE,76,1652,10.7,0.614,0.483,0.291,3.7,9.6,6.7,7.0,1.7,1.7,9.5,11.9,1.9,2.3,4.2,0.122,-1.9,1.6,-0.3,0.7,Isaac Okoro,12.8,0.752,0.952,0.099,109.0
263,Victor Oladipo,SG,30,MIA,42,1106,10.6,0.513,0.526,0.196,1.6,12.3,6.8,19.8,2.6,1.1,16.6,21.1,-0.9,1.5,0.6,0.024,-2.9,0.8,-2.1,0.0,Victor Oladipo,17.2,0.289,0.614,0.012,111.5
264,Kelly Olynyk,C,31,UTA,68,1942,14.4,0.643,0.424,0.417,4.6,18.6,11.7,17.6,1.5,1.6,20.3,17.8,2.4,1.9,4.3,0.106,-0.4,0.9,0.4,1.2,Kelly Olynyk,14.5,0.643,0.968,0.025,116.0
265,Eugene Omoruyi,SF,25,TOT,40,645,10.9,0.533,0.39,0.329,7.1,11.8,9.4,6.3,2.1,0.4,11.5,19.3,0.1,0.5,0.6,0.042,-3.5,-0.9,-4.4,-0.4,Eugene Omoruyi,11.7,0.618,1.0,0.053,113.1
266,Cedi Osman,SF,27,CLE,77,1548,12.0,0.579,0.589,0.204,1.9,11.5,6.7,10.6,1.1,0.7,8.3,18.2,1.4,1.9,3.3,0.103,-0.8,0.2,-0.7,0.5,Cedi Osman,16.8,0.764,0.879,0.013,108.0
267,Kelly Oubre Jr.,SF,27,CHO,48,1548,14.8,0.534,0.414,0.254,4.4,12.9,8.6,5.6,2.1,1.0,6.6,26.5,0.1,1.5,1.7,0.051,-0.4,-0.7,-1.1,0.3,Kelly Oubre Jr.,13.8,0.539,0.917,0.067,115.3
268,Chris Paul,PG,37,PHO,59,1889,17.7,0.555,0.391,0.24,1.6,13.4,7.4,38.7,2.4,1.0,13.4,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,Chris Paul,18.0,0.163,0.551,0.0,112.5
269,Cameron Payne,PG,28,PHO,48,968,13.2,0.512,0.408,0.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,0.053,-0.5,-0.7,-1.2,0.2,Cameron Payne,15.8,0.3,0.662,0.0,111.4
270,Gary Payton II,SG,30,TOT,22,367,13.3,0.701,0.377,0.101,7.4,13.9,10.6,11.0,2.9,1.2,18.2,10.3,0.6,0.4,1.0,0.125,-1.2,1.5,0.3,0.2,Gary Payton II,10.5,0.714,1.0,0.087,118.3
271,Mason Plumlee,C,32,TOT,79,2054,19.6,0.689,0.0,0.647,11.8,25.1,18.4,17.3,1.1,2.0,15.8,15.2,5.5,2.4,7.9,0.185,1.2,1.0,2.2,2.2,Mason Plumlee,2.7,0.657,0.0,0.26,117.4
272,Jakob Poeltl,C,27,TOT,72,1906,21.0,0.635,0.002,0.325,13.0,25.5,19.0,15.2,1.7,4.0,15.0,18.2,3.7,2.2,6.0,0.15,1.1,0.8,1.9,1.9,Jakob Poeltl,4.8,0.656,0.0,0.045,115.5
273,Aleksej Pokusevski,PF,21,OKC,34,701,13.4,0.522,0.418,0.141,6.8,17.8,12.2,12.4,1.4,5.7,14.0,18.3,0.0,1.0,1.0,0.066,-1.0,1.0,0.0,0.3,Aleksej Pokusevski,13.2,0.6,0.974,0.056,118.3
274,Jordan Poole,PG,23,GSW,82,2458,14.6,0.573,0.498,0.325,1.5,8.5,5.0,22.5,1.2,0.8,14.7,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,Jordan Poole,17.3,0.446,0.701,0.024,111.8
275,Kevin Porter Jr.,PG,22,HOU,59,2024,16.2,0.565,0.436,0.299,4.1,13.1,8.5,25.7,2.0,0.8,15.8,24.3,1.9,1.0,2.9,0.068,1.4,-0.8,0.6,1.3,Kevin Porter Jr.,15.7,0.18,0.525,0.054,119.5
276,Michael Porter Jr.,SF,24,DEN,62,1798,16.8,0.621,0.556,0.147,4.2,17.2,10.9,5.3,1.0,1.4,7.3,22.7,2.6,1.8,4.3,0.116,2.0,-1.8,0.2,1.0,Michael Porter Jr.,18.0,0.767,0.926,0.053,112.2
277,Bobby Portis,PF,27,MIL,70,1818,17.8,0.575,0.32,0.156,9.2,28.6,19.3,8.7,0.8,0.7,8.6,21.7,2.5,2.8,5.3,0.139,1.2,-0.6,0.7,1.2,Bobby Portis,13.3,0.597,1.0,0.025,112.0
