,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
201,Luke Kornet,C,27,BOS,69,804,16.7,0.697,0.076,0.229,11.9,14.8,13.4,9.1,0.7,4.9,11.8,11.5,2.1,1.2,3.3,0.198,-0.4,1.3,1.0,0.6
202,Jonathan Kuminga,PF,20,GSW,67,1394,13.3,0.597,0.294,0.278,5.6,12.5,9.1,12.7,1.4,2.0,14.6,19.6,1.0,1.4,2.4,0.084,-1.7,-0.1,-1.7,0.1
203,Kyle Kuzma,PF,27,WAS,64,2239,14.3,0.544,0.421,0.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,0.019,-0.2,-1.5,-1.7,0.2
204,Anthony Lamb,SF,25,GSW,62,1195,10.9,0.61,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3
205,Jock Landale,C,27,PHO,69,979,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2
206,Romeo Langford,SG,23,SAS,43,844,10.4,0.524,0.236,0.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5
207,Jake LaRavia,PF,21,MEM,35,414,6.7,0.531,0.747,0.095,4.9,11.3,8.1,6.2,1.4,0.9,15.4,11.7,0.0,0.5,0.5,0.054,-3.9,0.4,-3.5,-0.2
208,Zach LaVine,SG,27,CHI,77,2768,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7
209,Damion Lee,SG,30,PHO,74,1506,10.7,0.607,0.546,0.23,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1
210,Saben Lee,PG,23,TOT,25,373,13.1,0.517,0.248,0.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,0.088,-2.7,0.9,-1.8,0.0
211,Kawhi Leonard,SF,31,LAC,52,1748,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2.0,1.4,8.1,27.0,4.9,2.2,7.1,0.194,5.1,0.9,6.1,3.5
212,Caris LeVert,SG,28,CLE,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0
213,Damian Lillard,PG,32,POR,58,2107,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,0.205,8.3,-1.2,7.1,4.9
214,Nassir Little,SF,22,POR,54,976,10.2,0.555,0.521,0.152,3.2,13.5,8.3,7.3,1.0,1.8,10.0,16.0,0.2,0.4,0.7,0.032,-1.6,-1.4,-3.0,-0.3
215,Isaiah Livers,PF,24,DET,52,1199,8.4,0.567,0.705,0.135,2.5,11.0,6.6,4.8,1.1,2.1,9.0,11.9,0.5,0.5,1.0,0.041,-2.1,-0.3,-2.4,-0.1
216,Kevon Looney,C,26,GSW,82,1958,17.8,0.639,0.003,0.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2.0
217,Brook Lopez,C,34,MIL,78,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,0.161,0.8,1.3,2.1,2.5
218,Kevin Love,PF,34,TOT,62,1240,13.1,0.548,0.698,0.215,5.5,32.6,18.9,13.2,0.6,0.9,13.1,19.2,0.6,2.0,2.6,0.099,0.2,0.4,0.6,0.8
